payment_id,payment_type,payment_status
1,Credit Card,Refunded
2,Credit Card,Failed
3,Digital Wallet,Completed
4,Digital Wallet,Completed
5,Debit Card,Failed
6,Bank Transfer,Completed
7,Bank Transfer,Completed
8,Cash,Refunded
9,UPI,Failed
10,Cash,Failed
11,Credit Card,Refunded
12,Debit Card,Completed
13,Cash,Pending
14,Bank Transfer,Failed
15,Digital Wallet,Pending
16,Bank Transfer,Refunded
17,Bank Transfer,Completed
18,Credit Card,Failed
19,Digital Wallet,Completed
20,UPI,Completed
21,Debit Card,Pending
22,Bank Transfer,Completed
23,Digital Wallet,Pending
24,Credit Card,Pending
25,UPI,Failed
26,Debit Card,Pending
27,Debit Card,Pending
28,Bank Transfer,Refunded
29,UPI,Pending
30,Credit Card,Failed
31,Bank Transfer,Refunded
32,Bank Transfer,Pending
33,Credit Card,Completed
34,Cash,Completed
35,Digital Wallet,Pending
36,Bank Transfer,Pending
37,Debit Card,Pending
38,Digital Wallet,Refunded
39,Credit Card,Failed
40,Digital Wallet,Completed
41,UPI,Completed
42,Digital Wallet,Completed
43,Digital Wallet,Failed
44,Bank Transfer,Completed
45,Debit Card,Refunded
46,Credit Card,Completed
47,Credit Card,Pending
48,Bank Transfer,Completed
49,Bank Transfer,Refunded
50,Digital Wallet,Failed
51,UPI,Pending
52,UPI,Failed
53,Credit Card,Refunded
54,Credit Card,Pending
55,Debit Card,Completed
56,UPI,Refunded
57,Cash,Completed
58,Cash,Refunded
59,Bank Transfer,Failed
60,Digital Wallet,Failed
61,Cash,Refunded
62,Digital Wallet,Refunded
63,Cash,Refunded
64,UPI,Refunded
65,Debit Card,Completed
66,Credit Card,Completed
67,Credit Card,Failed
68,UPI,Pending
69,Credit Card,Pending
70,Cash,Refunded
71,UPI,Failed
72,UPI,Pending
73,Debit Card,Refunded
74,Debit Card,Completed
75,Credit Card,Pending
76,Cash,Refunded
77,Cash,Failed
78,Credit Card,Failed
79,Cash,Pending
80,Credit Card,Pending
81,Bank Transfer,Failed
82,Credit Card,Failed
83,Credit Card,Refunded
84,UPI,Failed
85,Bank Transfer,Completed
86,Credit Card,Failed
87,Cash,Completed
88,Credit Card,Refunded
89,Credit Card,Completed
90,Credit Card,Pending
91,Credit Card,Pending
92,Digital Wallet,Refunded
93,UPI,Completed
94,Bank Transfer,Pending
95,Credit Card,Refunded
96,UPI,Failed
97,UPI,Pending
98,UPI,Failed
99,UPI,Failed
100,Debit Card,Failed
101,Bank Transfer,Completed
102,Cash,Pending
103,Digital Wallet,Pending
104,UPI,Failed
105,UPI,Failed
106,Bank Transfer,Refunded
107,Bank Transfer,Failed
108,Bank Transfer,Refunded
109,Credit Card,Completed
110,Credit Card,Refunded
111,Cash,Completed
112,Cash,Failed
113,Bank Transfer,Refunded
114,Cash,Pending
115,UPI,Refunded
116,Digital Wallet,Pending
117,UPI,Completed
118,Debit Card,Completed
119,Credit Card,Pending
120,Digital Wallet,Failed
121,Digital Wallet,Pending
