feedback_id,customer_id,product_id,rating,review_comment,feedback_date,sentiment_score
1,7337,265,3,Excellent,2023-01-16,0.47
2,2576,67,2,Excellent,2023-10-13,0.17
3,6638,473,4,Average,2023-07-13,0.05
4,2515,545,2,Bad,2023-06-15,0.74
5,1100,553,4,Excellent,2023-05-08,0.37
6,4771,742,2,Poor,2023-04-26,0.16
7,434,378,3,Bad,2023-01-01,0.73
8,6752,504,3,Average,2023-04-04,0.43
9,2774,224,5,Good,2023-07-21,0.43
10,5168,513,3,Not satisfied,2023-07-10,0.09
11,2779,741,3,Bad,2023-12-07,0.5
12,6549,538,1,Poor,2023-08-12,0.16
13,8317,51,2,Not satisfied,2023-12-22,0.26
14,3701,559,1,Average,2023-10-04,0.94
15,6950,445,4,Average,2023-10-28,0.7
16,2728,347,4,Good,2023-02-02,0.31
17,5316,558,5,Good,2023-04-11,0.64
18,6917,291,2,Not satisfied,2023-02-20,0.91
19,5035,265,4,Not satisfied,2023-10-14,0.01
20,4148,370,2,Not satisfied,2023-06-27,0.21
21,8171,126,4,Poor,2023-02-15,0.4
22,3643,727,5,Good,2023-06-27,0.71
23,4989,953,1,Good,2023-09-11,0.98
24,256,800,5,Poor,2023-04-09,0.07
25,7492,159,1,Loved it,2023-04-19,0.47
26,9542,565,4,Not satisfied,2023-02-21,0.17
27,5209,215,1,Good,2023-12-01,0.13
28,3781,717,2,Poor,2023-07-25,0.74
29,9519,40,1,Excellent,2023-10-23,0.32
30,7623,32,5,Average,2023-05-29,0.24
31,1376,835,4,Excellent,2023-11-09,0.39
32,6266,298,1,Average,2023-04-25,0.72
33,32,522,3,Loved it,2023-07-18,0.37
34,3665,381,2,Bad,2023-07-29,0.38
35,1589,958,2,Excellent,2023-05-31,0.2
36,3311,315,3,Average,2023-02-06,0.77
37,2779,890,2,Bad,2023-09-07,0.8
38,3392,449,5,Average,2023-12-29,0.68
39,6793,638,2,Average,2023-03-20,0.83
40,9618,590,2,Average,2023-05-14,0.17
41,919,976,4,Loved it,2023-02-18,0.92
42,4857,221,1,Not satisfied,2023-08-19,0.61
43,3658,733,2,Not satisfied,2023-11-26,0.56
44,9914,28,5,Good,2023-07-09,0.85
45,5994,102,2,Not satisfied,2023-07-06,0.46
46,367,286,5,Not satisfied,2023-03-13,0.38
47,5885,730,1,Not satisfied,2023-03-27,0.11
48,4571,65,4,Poor,2023-01-21,0.84
49,2495,362,4,Average,2023-06-06,0.07
50,3156,66,3,Loved it,2023-09-05,0.58
51,97,396,1,Loved it,2023-04-02,0.08
52,5676,823,4,Poor,2023-06-19,0.42
53,5619,78,1,Loved it,2023-10-15,0.22
