Source.Name,return_id,transaction_id,product_id,return_date,return_quantity,refund_amount,return_reason,return_method,handled_by_employee
Returns_Chunk1.csv,1,49516,609,24-10-2021 21:34,2,120.08,Other,Pickup,179
Returns_Chunk1.csv,2,185288,487,06-02-2023 08:39,3,582.72,Changed Mind,Pickup,61
Returns_Chunk1.csv,3,312548,597,13-05-2022 21:34,3,352.86,Late Delivery,Mail,167
Returns_Chunk1.csv,4,449499,355,19-11-2024 10:45,3,431.1,Changed Mind,Pickup,36
Returns_Chunk1.csv,5,168708,675,02-10-2024 17:13,2,251.12,Wrong Item,Mail,156
Returns_Chunk1.csv,6,496580,688,22-04-2020 06:09,3,396.18,Defective,In-Store,154
Returns_Chunk1.csv,7,491375,556,25-04-2021 23:45,1,123.72,Late Delivery,Mail,113
Returns_Chunk1.csv,8,173583,787,10-07-2023 17:46,1,195.75,Late Delivery,In-Store,100
Returns_Chunk1.csv,9,192618,877,03-05-2023 14:59,3,467.49,Changed Mind,In-Store,150
Returns_Chunk1.csv,10,498553,765,04-06-2021 03:40,2,178.98,Wrong Item,In-Store,145
Returns_Chunk1.csv,11,54400,52,04-08-2021 07:47,3,135.81,Late Delivery,Pickup,67
Returns_Chunk1.csv,12,254541,232,28-01-2023 03:01,2,119.16,Defective,Pickup,165
Returns_Chunk1.csv,13,1941,253,03-05-2023 13:36,1,198.91,Other,Mail,197
Returns_Chunk1.csv,14,141888,250,25-02-2020 22:21,1,40.73,Other,In-Store,154
Returns_Chunk1.csv,15,236404,273,05-12-2021 01:39,3,170.97,Wrong Item,In-Store,31
Returns_Chunk1.csv,16,74407,722,31-12-2020 17:16,3,380.37,Late Delivery,In-Store,144
Returns_Chunk1.csv,17,263486,920,13-10-2024 14:30,3,342.06,Other,Pickup,36
Returns_Chunk1.csv,18,166162,584,17-12-2022 15:37,1,149,Other,In-Store,197
Returns_Chunk1.csv,19,412141,177,28-08-2020 17:13,1,166.59,Changed Mind,In-Store,199
Returns_Chunk1.csv,20,272017,27,25-10-2021 19:14,2,241.86,Late Delivery,In-Store,29
Returns_Chunk1.csv,21,76723,857,14-11-2024 07:28,1,188.32,Other,In-Store,129
Returns_Chunk1.csv,22,310211,158,19-04-2021 03:07,1,174.35,Other,Mail,96
Returns_Chunk1.csv,23,459514,225,10-11-2021 02:46,1,131.29,Other,In-Store,182
Returns_Chunk1.csv,24,158924,990,22-04-2021 11:22,1,109.12,Defective,Mail,108
Returns_Chunk1.csv,25,356180,248,27-01-2023 21:01,3,389.43,Wrong Item,In-Store,166
Returns_Chunk1.csv,26,298766,634,13-08-2023 06:38,1,105.68,Defective,In-Store,30
Returns_Chunk1.csv,27,34890,657,05-12-2024 13:52,1,166,Late Delivery,In-Store,84
Returns_Chunk1.csv,28,61395,183,05-02-2021 01:08,1,84.09,Other,Pickup,48
Returns_Chunk1.csv,29,469524,223,18-01-2022 01:38,3,520.05,Late Delivery,In-Store,157
Returns_Chunk1.csv,30,211437,476,12-02-2022 21:29,1,93.87,Other,Pickup,112
Returns_Chunk1.csv,31,136965,441,09-12-2021 09:25,3,204.39,Changed Mind,Mail,94
Returns_Chunk1.csv,32,268427,173,17-06-2023 04:35,2,172.38,Defective,Pickup,185
Returns_Chunk1.csv,33,60172,536,28-12-2022 05:39,3,150,Other,In-Store,132
Returns_Chunk1.csv,34,341342,169,25-10-2020 18:56,2,291.44,Changed Mind,In-Store,61
Returns_Chunk1.csv,35,47006,732,25-07-2020 05:54,2,90.36,Wrong Item,Pickup,41
Returns_Chunk1.csv,36,483798,832,22-03-2020 23:52,2,26.4,Late Delivery,Mail,22
Returns_Chunk1.csv,37,226041,107,16-06-2024 19:19,1,46.24,Other,In-Store,155
Returns_Chunk1.csv,38,272261,193,11-09-2022 00:21,1,141.25,Changed Mind,Pickup,140
Returns_Chunk1.csv,39,206907,373,16-09-2024 09:21,1,91.92,Changed Mind,Pickup,155
Returns_Chunk1.csv,40,67096,486,24-07-2023 12:32,3,497.7,Wrong Item,Mail,86
Returns_Chunk1.csv,41,483161,63,11-04-2021 02:40,3,140.55,Wrong Item,Mail,114
Returns_Chunk1.csv,42,16186,525,09-12-2021 04:11,3,568.02,Other,Mail,17
Returns_Chunk1.csv,43,312393,371,06-08-2023 07:15,2,67.08,Defective,In-Store,177
Returns_Chunk1.csv,44,266865,170,27-11-2021 18:19,3,23.4,Defective,Mail,27
Returns_Chunk1.csv,45,323398,449,12-09-2023 10:26,1,51.43,Other,Pickup,144
Returns_Chunk1.csv,46,393619,233,05-02-2021 17:42,2,399.22,Late Delivery,Mail,106
Returns_Chunk1.csv,47,487873,257,06-01-2021 17:24,3,236.31,Wrong Item,Mail,142
Returns_Chunk1.csv,48,271000,937,22-09-2023 00:10,2,102.48,Wrong Item,In-Store,170
Returns_Chunk1.csv,49,338098,434,19-04-2024 05:28,1,81.23,Other,Pickup,195
Returns_Chunk1.csv,50,184057,119,15-01-2020 21:39,2,67.62,Defective,In-Store,170
Returns_Chunk1.csv,51,388413,806,12-03-2021 17:41,1,159.39,Defective,Mail,146
Returns_Chunk1.csv,52,414543,833,28-10-2021 18:33,2,254.12,Late Delivery,In-Store,130
Returns_Chunk1.csv,53,146535,690,19-08-2021 08:27,3,157.47,Late Delivery,Pickup,73
Returns_Chunk1.csv,54,407439,515,05-02-2021 18:13,2,109.64,Wrong Item,Pickup,154
Returns_Chunk1.csv,55,81457,959,15-06-2020 20:12,1,185.65,Defective,In-Store,78
Returns_Chunk1.csv,56,425556,849,28-09-2024 20:19,2,123.12,Defective,Pickup,144
Returns_Chunk1.csv,57,70587,349,12-01-2024 19:20,1,67.97,Late Delivery,Pickup,119
Returns_Chunk1.csv,58,142322,345,28-06-2020 13:12,2,81.58,Other,Pickup,117
Returns_Chunk1.csv,59,458579,884,08-11-2020 05:36,3,192.33,Defective,Mail,37
Returns_Chunk1.csv,60,155734,448,19-08-2022 15:57,1,146.15,Changed Mind,In-Store,5
Returns_Chunk1.csv,61,74999,354,28-02-2024 21:59,3,291.06,Defective,Mail,81
Returns_Chunk1.csv,62,288650,869,07-02-2024 21:19,1,47.51,Wrong Item,In-Store,105
Returns_Chunk1.csv,63,489297,944,03-09-2022 23:22,3,408.48,Other,Pickup,96
Returns_Chunk1.csv,64,104974,957,30-05-2022 07:08,3,465.99,Defective,Mail,78
Returns_Chunk1.csv,65,51501,820,14-01-2020 02:53,1,133.63,Changed Mind,In-Store,107
Returns_Chunk1.csv,66,81026,388,29-11-2022 15:46,1,64.29,Changed Mind,Mail,49
Returns_Chunk1.csv,67,173280,914,13-09-2023 12:04,1,158.09,Late Delivery,Pickup,94
Returns_Chunk1.csv,68,197432,709,08-06-2020 12:49,3,250.32,Changed Mind,Mail,8
Returns_Chunk1.csv,69,433486,755,26-11-2023 15:36,2,249.8,Late Delivery,Pickup,43
Returns_Chunk1.csv,70,335134,935,28-07-2022 03:14,1,195.17,Defective,In-Store,32
Returns_Chunk1.csv,71,350960,768,01-11-2020 17:55,2,68.48,Changed Mind,Mail,20
Returns_Chunk1.csv,72,133837,324,12-03-2020 05:39,3,266.31,Defective,Mail,70
Returns_Chunk1.csv,73,481548,618,07-07-2020 09:43,1,36.3,Defective,Pickup,115
Returns_Chunk1.csv,74,211927,533,27-12-2023 20:21,3,393.33,Late Delivery,In-Store,140
Returns_Chunk1.csv,75,466347,511,10-10-2022 06:05,3,540.09,Other,Mail,138
Returns_Chunk1.csv,76,238764,912,30-01-2022 18:22,3,341.37,Wrong Item,Mail,198
Returns_Chunk1.csv,77,227351,212,01-07-2023 04:21,2,104.12,Other,In-Store,92
Returns_Chunk1.csv,78,83914,151,30-05-2022 05:51,1,63.79,Changed Mind,Pickup,192
Returns_Chunk1.csv,79,277194,8,29-09-2022 06:27,1,87.21,Late Delivery,In-Store,107
Returns_Chunk1.csv,80,147032,891,29-12-2021 18:33,3,69.78,Other,Mail,16
Returns_Chunk1.csv,81,136795,945,08-09-2022 06:41,1,112.88,Other,In-Store,134
Returns_Chunk1.csv,82,194503,587,08-06-2021 01:34,3,495.66,Other,In-Store,140
Returns_Chunk1.csv,83,94921,848,22-10-2021 03:59,1,149.34,Wrong Item,In-Store,28
Returns_Chunk1.csv,84,50564,130,25-08-2020 13:32,1,48.01,Wrong Item,Pickup,134
Returns_Chunk1.csv,85,269371,698,11-08-2022 04:34,1,100.8,Wrong Item,In-Store,19
Returns_Chunk1.csv,86,65138,795,08-08-2024 21:32,1,82.19,Wrong Item,Pickup,6
Returns_Chunk1.csv,87,96881,701,21-09-2022 15:27,3,99.66,Late Delivery,Mail,9
Returns_Chunk1.csv,88,293337,55,14-12-2021 07:53,3,66.18,Changed Mind,In-Store,90
Returns_Chunk1.csv,89,265927,421,09-01-2024 23:39,3,549.57,Other,Mail,179
Returns_Chunk1.csv,90,78553,722,14-03-2021 10:57,2,114.74,Late Delivery,In-Store,104
Returns_Chunk1.csv,91,42027,978,09-07-2020 00:26,3,498.78,Defective,Pickup,62
Returns_Chunk1.csv,92,449318,188,16-07-2021 08:59,3,253.56,Other,Pickup,141
Returns_Chunk1.csv,93,299878,119,21-07-2022 10:11,2,361.44,Wrong Item,Pickup,139
Returns_Chunk1.csv,94,415763,279,04-10-2023 20:18,2,230.76,Changed Mind,Mail,124
Returns_Chunk1.csv,95,213243,845,24-04-2021 11:06,2,316.28,Wrong Item,In-Store,52
